tree,orchard,crown_area_m2,ht_m,pre_helene_vol,post_helene_vol,damage,rel_ht,rel_dens_1.8ha,HELENE_MSW,predicted_dbh
13628,W,23,8.46,179.453,187.684,0,0.920766217,2,33.08100128,14.16
13629,W,50,9.987,429.452,460.712,0,0.988746617,9,33.08100128,21.09
13630,W,42,9.277,307.082,391.76,0,1.041462411,6,33.08100128,18.82
13631,W,47,9.782,402.165,370.823,7.79,1.168027893,5,33.08100128,20.32
13632,W,49,10.095,408.048,68.927,83.11,1.095919327,9,33.08100128,21.07
13633,W,71,10.781,632.903,676.189,0,1.149395352,7,33.08100128,25.49
13634,W,48,7.691,282.002,272.187,3.48,1.037548341,6,33.08100128,17.62
13635,W,75,9.541,546.919,620.445,0,1.134647657,9,33.08100128,24.01
13636,W,51,9.194,404.839,427.344,0,0.911402444,8,33.08100128,20.17
13637,W,61,10.413,536.693,549.174,0,1.012839218,13,33.08100128,23.45
13638,W,41,10.288,366.009,315.537,13.79,0.997247102,5,33.08100128,19.86
13639,W,64,10.128,516.01,510.769,1.02,0.998971382,7,33.08100128,23.47
13640,W,43,9.293,346.365,369.613,0,1.096829781,5,33.08100128,19.01
13641,W,31,9.055,213.399,243.953,0,0.999963189,3,33.08100128,16.49
13642,W,73,10.114,603.814,663.749,0,1.088412994,7,33.08100128,24.7
13643,W,55,9.137,409.843,486.725,0,1.022636336,4,33.08100128,20.69
13644,W,32,7.19,156.435,140.262,10.34,0.962173254,6,33.08100128,14.58
13645,W,50,10.526,417.784,440.056,0,1.059760956,7,33.08100128,21.81
13646,W,73,10.085,539.232,606.881,0,0.995745407,11,33.08100128,24.65
13647,W,61,9.722,490.466,589.895,0,0.945821051,10,33.08100128,22.42
13648,W,62,11.059,542.769,592.377,0,1.084463766,6,33.08100128,24.54
13649,W,69,10.111,558.332,613.451,0,1.021917729,7,33.08100128,24.15
13650,W,25,7.999,171.499,190.299,0,0.984371154,3,33.08100128,14.16
13651,W,47,9.321,330.316,395.672,0,1.033972101,4,33.08100128,19.71
13652,W,79,8.496,479.557,582.257,0,0.919092591,10,33.08100128,22.65
13653,W,54,10.045,446.685,443.138,0.79,0.984473006,14,33.08100128,21.82
13654,W,58,10.539,461.859,544.529,0,1.020946128,9,33.08100128,23.16
13655,W,67,10.375,575.137,529.721,7.9,1.007238091,9,33.08100128,24.28
13656,W,34,9.491,274.697,274.673,0.01,0.923755508,11,33.08100128,17.57
13657,W,68,9.722,506.079,625.104,0,1.055935701,2,33.08100128,23.4
13658,W,46,10.956,398.119,399.314,0,1.112890268,11,33.08100128,21.62
13659,W,57,9.395,433.241,427.366,1.36,1.026972372,4,33.08100128,21.36
13660,W,44,8.456,282.355,335.895,0,0.869451966,6,33.08100128,18.09
13661,W,34,10.71,293.164,339.013,0,1.049860313,14,33.08100128,18.88
13662,W,56,9.385,371.21,430.631,0,1.020302775,4,33.08100128,21.19
13663,W,27,9.057,206.52,225.355,0,0.880709858,12,33.08100128,15.64
13664,W,53,7.842,378.718,393.876,0,0.785366831,7,33.08100128,18.5
13665,W,60,6.52,272.251,278.729,0,0.748822786,6,33.08100128,17.18
13666,W,58,10.925,488.602,503.715,0,1.119479455,12,33.08100128,23.7
13667,W,30,10.26,261.287,245.753,5.95,0.991651665,8,33.08100128,17.51
13668,W,71,10.848,646.745,635.008,1.81,1.067270089,8,33.08100128,25.6
13669,W,70,10.093,598.639,591.455,1.2,0.978583356,9,33.08100128,24.26
13670,W,58,10.032,459.272,456.387,0.63,1.016567867,6,33.08100128,22.43
13671,W,50,10.093,419.334,457.448,0,0.970438355,11,33.08100128,21.23
13672,W,69,11.343,524.289,564.525,0,1.257873492,10,33.08100128,26.07
13673,W,42,10.355,311.298,176.337,43.35,1.045334182,13,33.08100128,20.13
13674,W,53,7.981,315.718,332.229,0,0.95120614,5,33.08100128,18.71
13675,W,53,9.998,446.665,463.237,0,0.974314711,7,33.08100128,21.6
13676,W,54,10.52,447.275,484.377,0,1.026665065,13,33.08100128,22.48
13677,W,77,10.666,649.431,689.885,0,1.014281515,11,33.08100128,26.15
13678,W,64,10.928,584.774,579.344,0.93,1.112901789,8,33.08100128,24.67
13679,W,61,9.972,515.352,500.235,2.93,0.997748762,8,33.08100128,22.79
13680,W,59,8.869,419.579,472.198,0,1.082245272,2,33.08100128,20.85
13681,W,52,9.159,381.63,437.332,0,0.973403831,4,33.08100128,20.28
13682,W,36,8.225,239.112,171.641,28.22,0.89744569,10,33.08100128,16.49
13683,W,68,10.194,522.098,540.269,0,1.067192435,6,33.08100128,24.14
13684,W,51,9.265,399.762,446.909,0,0.930727052,12,33.08100128,20.27
13685,W,56,8.43,372.485,73.929,80.15,0.921462535,6,33.08100128,19.78
13686,W,20,9.13,163.55,159.556,2.44,0.887892377,9,33.08100128,13.99
13687,W,69,10.423,577.786,546.882,5.35,1.002225305,7,33.08100128,24.64
13688,W,41,10.364,372.37,381.305,0,1.022771569,8,33.08100128,19.95
13689,W,64,9.258,454.894,525.796,0,0.981006119,4,33.08100128,22.13
13690,W,51,9.451,341.124,446.369,0,1.173599901,1,33.08100128,20.53
13691,W,77,7.368,466.283,517.264,0,0.78535873,10,33.08100128,20.38
13692,W,73,10.732,583.017,671.937,0,1.073460698,7,33.08100128,25.7
13693,W,52,10.336,426.107,399.399,6.27,1.057057057,11,33.08100128,21.9
